Selection,,Token tagging,,,,Code Search,,,Defect Detection,,
,,CB,GCB,CGPA,UC,CB,GCB,UC,CB,GCB,UC
Oracle,# of neurons,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984
,Score,91.46%,89.29%,83.58%,96.01%,47.52%,50.33%,48.68%,64.02%,63.87%,66.80%
CC,Cluster threshold,0.5,NA,0.7,0.4,0.8,NA,0.8,0.7,0.7,0.2
,# of neurons,3229,9984,644,3406,1066,8777,1092,1742,2555,8890
,Score,94.93%,98.21%,98.80%,99.03%,51.66%,51.82%,50.17%,65.52%,64.35%,67.02%
,Diff.,3.47%,8.92%,15.22%,3.02%,4.14%,1.49%,1.49%,1.50%,0.48%,0.22%
,Neuron reduction,67.66%,0.00%,93.55%,65.89%,89.32%,12.09%,89.06%,82.55%,74.41%,10.96%
"LS+
CC+
LCA",Layer selection,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-11,0-12,0-12
,Perf delta,1-Feb,1-Mar,1-Mar,1-Mar,1-Mar,1-Mar,1-Mar,1-Feb,1-Jan,1-Feb
,Cluster threshold,NA,NA,NA,0.3,NA,NA,NA,NA,0.3,0.1
,# of neurons,29,49,9,199,9,9,9,99,399,29
,Score,94.18%,89.59%,87%,99.03%,48.18%,48.18%,48.18%,65.15%,63.65%,65.56%
,Diff.,2.72%,0.30%,3.42%,3.02%,0.66%,-2.15%,-0.50%,1.13%,-0.22%,-1.24%
,Neuron reduction,99.71%,99.51%,99.91%,98.01%,99.91%,99.91%,99.91%,99.01%,96.00%,99.71%